timestamp,latitude,longitude,message
1723033407,-38.4197,-120.2579,success
1723033408,-38.3606,-120.1664,success
1723033417,-38.0241,-119.6507,success
1723033418,-37.9644,-119.5602,success
1723033420,-37.9047,-119.4699,success
1723033421,-37.8449,-119.3797,success
1723033423,-37.7850,-119.2897,success
1723033424,-37.7250,-119.1998,success
1723033426,-37.6650,-119.1102,success
1723033427,-37.6249,-119.0504,success
1723033428,-37.5647,-118.9610,success
1723033430,-37.5045,-118.8717,success
1723033431,-37.4441,-118.7826,success
1723033433,-37.3837,-118.6936,success
1723033434,-37.3232,-118.6048,success
1723033436,-37.2627,-118.5161,success
1723033437,-37.2020,-118.4276,success
1723033439,-37.1413,-118.3393,success
1723033440,-37.0805,-118.2510,success
1723033441,-37.0399,-118.1923,success
1723033443,-36.9790,-118.1043,success
1723033444,-36.9180,-118.0165,success
1723033446,-36.8570,-117.9289,success
1723033447,-36.7958,-117.8414,success
1723033449,-36.7346,-117.7540,success
1723033450,-36.6733,-117.6668,success
1723033452,-36.6120,-117.5798,success
1723033453,-36.5506,-117.4929,success
1723033455,-36.4891,-117.4061,success
1723033456,-36.4481,-117.3484,success
1723033457,-36.3864,-117.2618,success
1723033459,-36.3247,-117.1755,success
1723033460,-36.2629,-117.0892,success
1723033462,-36.2011,-117.0032,success
1723033463,-36.1392,-116.9172,success
1723033465,-36.0772,-116.8315,success
1723033466,-36.0152,-116.7458,success
1723033468,-35.9531,-116.6603,success
1723033469,-35.8909,-116.5750,success
1723033470,-35.8494,-116.5182,success
1723033472,-35.7871,-116.4331,success
1723033473,-35.7247,-116.3481,success
1723033475,-35.6623,-116.2633,success
1723033476,-35.5997,-116.1786,success
1723033478,-35.5371,-116.0940,success
1723033480,-35.4745,-116.0096,success
1723033481,-35.4118,-115.9253,success
1723033483,-35.3490,-115.8412,success
1723033484,-35.2861,-115.7572,success
1723033485,-35.2442,-115.7013,success
1723033487,-35.1812,-115.6176,success
1723033488,-35.1182,-115.5340,success
1723033490,-35.0551,-115.4505,success
1723033491,-34.9919,-115.3672,success
1723033493,-34.9287,-115.2840,success
1723033494,-34.8654,-115.2010,success
1723033498,-34.6963,-114.9802,success
1723033500,-34.6328,-114.8976,success
1723033501,-34.5692,-114.8152,success
1723033503,-34.5055,-114.7329,success
1723033505,-34.3992,-114.5961,success
1723033507,-34.3354,-114.5142,success
1723033508,-34.2715,-114.4324,success
1723033510,-34.2075,-114.3508,success
1723033511,-34.1435,-114.2693,success
1723033513,-34.0794,-114.1879,success
1723033514,-34.0367,-114.1337,success
1723033515,-33.9725,-114.0525,success
1723033521,-33.7366,-113.7561,success
1723033522,-33.6721,-113.6755,success
1723033524,-33.6076,-113.5951,success
1723033532,-33.2408,-113.1419,success
1723033534,-33.1758,-113.0623,success
1723033535,-33.1109,-112.9829,success
1723033537,-33.0458,-112.9036,success
1723033538,-33.0024,-112.8508,success
1723033539,-32.9373,-112.7718,success
1723033541,-32.8721,-112.6928,success
1723033542,-32.8068,-112.6140,success
1723033544,-32.7415,-112.5352,success
1723033545,-32.6761,-112.4566,success
1723033552,-32.3702,-112.0915,success
1723033554,-32.3045,-112.0136,success
1723033556,-32.1949,-111.8840,success
1723033558,-32.1290,-111.8065,success
1723033559,-32.0631,-111.7290,success
1723033561,-31.9972,-111.6517,success
1723033562,-31.9312,-111.5745,success
1723033564,-31.8651,-111.4974,success
1723033565,-31.7989,-111.4204,success
1723033567,-31.7328,-111.3436,success
1723033568,-31.6665,-111.2668,success
1723033569,-31.6223,-111.2158,success
1723033571,-31.5560,-111.1392,success
1723033572,-31.4896,-111.0628,success
1723033574,-31.4232,-110.9865,success
1723033575,-31.3567,-110.9103,success
1723033577,-31.2902,-110.8343,success
1723033578,-31.2236,-110.7583,success
1723033580,-31.1569,-110.6824,success
