Date,State_Name,veg_id,veg_name,whole_price,retail_price,shop_mall_price,unit_val,Vegetable_Image
2024-05-01,Maharashtra,mintleaves,Mint Leaves,4,5 - 5,5 - 7,1kg,resource/images/vegetables/mintleaves-64.png
2024-05-01,Maharashtra,mushroom,Mushroom,87,100 - 110,104 - 144,1kg,resource/images/vegetables/mushroom-64.png
2024-05-01,Maharashtra,mustardleaves,Mustard Leaves,13,15 - 17,16 - 21,1kg,resource/images/vegetables/mustardleaves-64.png
2024-05-01,Maharashtra,ladiesfinger,Ladies Finger,40,46 - 51,48 - 66,1kg,resource/images/vegetables/ladiesfinger-64.png
2024-05-01,Maharashtra,pumpkin,Pumpkin,17,20 - 22,20 - 28,1kg,resource/images/vegetables/pumpkin-64.png
2024-05-01,Maharashtra,radish,Radish,27,31 - 34,32 - 45,1kg,resource/images/vegetables/radish-64.png
2024-05-01,Maharashtra,ridgegourd,Ridge Gourd,32,37 - 41,38 - 53,1kg,resource/images/vegetables/ridgegourd-64.png
2024-05-01,Maharashtra,shallot,Shallot (Pearl Onion),29,33 - 37,35 - 48,1kg,resource/images/vegetables/shallot-64.png
2024-05-01,Maharashtra,snakegourd,Snake Gourd,22,25 - 28,26 - 36,1kg,resource/images/vegetables/snakegourd-64.png
2024-05-01,Maharashtra,sorrelleaves,Sorrel Leaves,13,15 - 17,16 - 21,1kg,resource/images/vegetables/sorrelleaves-64.png
2024-05-01,Maharashtra,spinach,Spinach,12,14 - 15,14 - 20,1kg,resource/images/vegetables/spinach-64.png
2024-05-01,Maharashtra,sweetpotato,Sweet Potato,40,46 - 51,48 - 66,1kg,resource/images/vegetables/sweetpotato-64.png
2024-05-02,Maharashtra,onionbig,Onion Big,26,30 - 33,31 - 43,1kg,resource/images/vegetables/onionbig-64.png
2024-05-02,Maharashtra,onionsmall,Onion Small,32,37 - 41,38 - 53,1kg,resource/images/vegetables/onionsmall-64.png
2024-05-02,Maharashtra,tomato,Tomato,25,29 - 32,30 - 41,1kg,resource/images/vegetables/tomato-64.png
2024-05-02,Maharashtra,greenchili,Green Chilli,43,49 - 55,52 - 71,1kg,resource/images/vegetables/greenchili-64.png
2024-05-02,Maharashtra,beetroot,Beetroot,38,44 - 48,46 - 63,1kg,resource/images/vegetables/beetroot-64.png
2024-05-02,Maharashtra,potato,Potato,31,36 - 39,37 - 51,1kg,resource/images/vegetables/potato-64.png
2024-05-02,Maharashtra,plantain,Raw Banana (Plantain),8,9 - 10,10 - 13,1kg,resource/images/vegetables/plantain-64.png
2024-05-02,Maharashtra,amaranthleaves,Amaranth Leaves,14,16 - 18,17 - 23,1kg,resource/images/vegetables/amaranthleaves-64.png
2024-05-02,Maharashtra,amla,Amla,65,75 - 83,78 - 107,1kg,resource/images/vegetables/amla-64.png
2024-05-02,Maharashtra,ashgourd,Ash gourd,23,26 - 29,28 - 38,1kg,resource/images/vegetables/ashgourd-64.png
2024-05-02,Maharashtra,babycorn,Baby Corn,46,53 - 58,55 - 76,1kg,resource/images/vegetables/babycorn-64.png
2024-05-02,Maharashtra,bananaflower,Banana Flower,16,18 - 20,19 - 26,1kg,resource/images/vegetables/bananaflower-64.png
2024-05-02,Maharashtra,capsicum,Capsicum,46,53 - 58,55 - 76,1kg,resource/images/vegetables/capsicum-64.png
2024-05-02,Maharashtra,bittergourd,Bitter Gourd,31,36 - 39,37 - 51,1kg,resource/images/vegetables/bittergourd-64.png
2024-05-02,Maharashtra,bottlegourd,Bottle Gourd,26,30 - 33,31 - 43,1kg,resource/images/vegetables/bottlegourd-64.png
2024-05-02,Maharashtra,butterbeans,Butter Beans,50,58 - 64,60 - 83,1kg,resource/images/vegetables/butterbeans-64.png
2024-05-02,Maharashtra,broadbeans,Broad Beans,30,35 - 38,36 - 50,1kg,resource/images/vegetables/broadbeans-64.png
2024-05-02,Maharashtra,cabbage,Cabbage,20,23 - 25,24 - 33,1kg,resource/images/vegetables/cabbage-64.png
2024-05-02,Maharashtra,carrot,Carrot,43,49 - 55,52 - 71,1kg,resource/images/vegetables/carrot-64.png
2024-05-02,Maharashtra,cauliflower,Cauliflower,26,30 - 33,31 - 43,1kg,resource/images/vegetables/cauliflower-64.png
2024-05-02,Maharashtra,clusterbeans,Cluster beans,40,46 - 51,48 - 66,1kg,resource/images/vegetables/clusterbeans-64.png
2024-05-02,Maharashtra,coconut,Coconut,35,40 - 44,42 - 58,1kg,resource/images/vegetables/coconut-64.png
2024-05-02,Maharashtra,colocasialeaves,Colocasia Leaves,14,16 - 18,17 - 23,1kg,resource/images/vegetables/colocasialeaves-64.png
2024-05-02,Maharashtra,colocasia,Colocasia,30,35 - 38,36 - 50,1kg,resource/images/vegetables/colocasia-64.png
2024-05-02,Maharashtra,corianderleaves,Coriander Leaves,5,6 - 6,6 - 8,1kg,resource/images/vegetables/corianderleaves-64.png
2024-05-02,Maharashtra,corn,Corn,28,32 - 36,34 - 46,1kg,resource/images/vegetables/corn-64.png
